Japan,1,193
Singapore,2,192
South Korea,2,192
Germany,3,190
Spain,3,190
Finland,4,189
Italy,4,189
Luxembourg,4,189
Austria,5,188
Denmark,5,188
Netherlands,5,188
Sweden,5,188
France,6,187
Ireland,6,187
Portugal,6,187
United Kingdom,6,187
Belgium,7,186
New Zealand,7,186
Norway,7,186
Switzerland,7,186
United States,7,186
Australia,8,185
Canada,8,185
Czech Republic,8,185
Greece,8,185
Malta,8,185
Hungary,9,183
Lithuania,10,182
Poland,10,182
Slovakia,10,182
Estonia,11,181
Latvia,11,181
Slovenia,11,181
Iceland,12,180
Malaysia,13,179
Liechtenstein,14,178
Cyprus,15,176
United Arab Emirates,15,176
Chile,16,174
Monaco,16,174
Romania,16,174
Bulgaria,17,173
Croatia,17,173
Hong Kong (SAR China),18,171
Argentina,19,170
Brazil,19,170
San Marino,20,169
Andorra,21,168
Brunei,22,166
Barbados,23,163
Israel,24,159
Mexico,24,159
St. Kitts and Nevis,25,157
Bahamas,26,155
Vatican City,27,154
Seychelles,28,153
Uruguay,28,153
St. Vincent and the Grenadines,29,152
Antigua and Barbuda,30,151
Trinidad and Tobago,30,151
Costa Rica,31,150
St. Lucia,32,147
Grenada,33,146
Mauritius,33,146
Dominica,34,145
Taiwan (Chinese Taipei),34,145
Macao (SAR China),35,144
Ukraine,35,144
Panama,36,143
Paraguay,37,142
Peru,38,136
Serbia,38,136
El Salvador,39,134
Guatemala,40,133
Honduras,40,133
Colombia,41,132
Samoa,41,132
Solomon Islands,41,132
Tonga,42,130
Venezuela,43,129
Nicaragua,44,128
Tuvalu,44,128
North Macedonia,45,125
Kiribati,46,124
Montenegro,46,124
Marshall Islands,47,123
Moldova,48,121
Palau Islands,49,120
Russian Federation,50,119
Bosnia and Herzegovina,51,118
Micronesia,51,118
Georgia,52,116
Albania,53,115
Türkiye,54,110
South Africa,55,105
Belize,56,103
Qatar,57,99
Vanuatu,58,98
Kuwait,59,96
Timor-Leste,60,94
Ecuador,61,92
Nauru,62,90
Fiji,63,89
Maldives,63,89
Guyana,64,88
Botswana,65,87
Jamaica,65,87
Bahrain,66,86
Papua New Guinea,67,83
Oman,68,81
Saudi Arabia,68,81
Bolivia,69,80
China,69,80
Namibia,70,79
Thailand,70,79
Belarus,71,78
Lesotho,72,77
Suriname,72,77
Kazakhstan,73,76
eSwatini,74,75
Malawi,75,74
Indonesia,76,72
Kenya,76,72
Tanzania,76,72
Zambia,76,72
Tunisia,77,71
Azerbaijan,78,70
Dominican Republic,78,70
The Gambia,79,69
Cape Verde Islands,80,67
Philippines,80,67
Uganda,80,67
Armenia,81,66
Zimbabwe,81,66
Cuba,82,65
Ghana,82,65
Morocco,82,65
Kyrgyzstan,83,64
Sierra Leone,83,64
Mozambique,84,63
Benin,85,62
Mongolia,85,62
Rwanda,86,61
Sao Tome and Principe,86,61
India,87,60
Mauritania,87,60
Tajikistan,87,60
Burkina Faso,88,59
Uzbekistan,88,59
Gabon,89,58
Cote d'Ivoire,90,57
Senegal,90,57
Equatorial Guinea,91,56
Madagascar,91,56
Guinea,92,55
Mali,92,55
Togo,92,55
Vietnam,92,55
Bhutan,93,54
Cambodia,93,54
Chad,93,54
Comoro Islands,93,54
Niger,93,54
Algeria,94,53
Central African Republic,94,53
Egypt,94,53
Guinea-Bissau,94,53
Jordan,94,53
Turkmenistan,94,53
Angola,95,51
Burundi,95,51
Cameroon,95,51
Laos,95,51
Liberia,96,50
Congo (Rep.),97,49
Haiti,97,49
Djibouti,98,48
Myanmar,99,47
Ethiopia,100,46
Nigeria,100,46
Eritrea,101,44
South Sudan,101,44
Iran,102,43
Congo (Dem. Rep.),103,42
Lebanon,103,42
Sri Lanka,103,42
Sudan,103,42
Bangladesh,104,41
Kosovo,104,41
Libya,104,41
North Korea,105,40
Nepal,106,38
Palestinian Territory,106,38
Somalia,107,35
Yemen,108,34
Pakistan,109,32
Syria,110,30
Iraq,111,29
Afghanistan,112,27
