Passport,Destination,PI,HPI
Afghanistan,Albania,e-visa,visa required
Afghanistan,Angola,visa on arrival,visa required
Afghanistan,Antigua and Barbuda,e-visa,visa required
Afghanistan,Australia,e-visa,visa required
Afghanistan,Azerbaijan,covid ban,visa required
Afghanistan,Bahrain,e-visa,visa required
Afghanistan,Benin,e-visa,visa required
Afghanistan,Bolivia,visa on arrival,visa required
Afghanistan,Botswana,e-visa,visa required
Afghanistan,Cambodia,e-visa,visa on arrival
Afghanistan,Colombia,e-visa,visa required
Afghanistan,DR Congo,e-visa,visa required
Afghanistan,Ivory Coast,e-visa,visa required
Afghanistan,Djibouti,e-visa,visa required
Afghanistan,Ecuador,e-visa,visa required
Afghanistan,Ethiopia,e-visa,visa required
Afghanistan,Gabon,e-visa,visa required
Afghanistan,Guinea,e-visa,visa required
Afghanistan,Guyana,visa on arrival,visa required
Afghanistan,India,e-visa,visa required
Afghanistan,Kenya,e-visa,visa required
Afghanistan,Kyrgyzstan,e-visa,visa required
Afghanistan,Lesotho,e-visa,visa required
Afghanistan,Malawi,e-visa,visa required
Afghanistan,Malaysia,e-visa,visa required
Afghanistan,Moldova,e-visa,visa required
Afghanistan,Nigeria,visa on arrival,visa required
Afghanistan,Oman,e-visa,visa required
Afghanistan,Pakistan,e-visa,visa required
Afghanistan,Qatar,Hayya Entry Permit,visa required
Afghanistan,Saint Kitts and Nevis,e-visa,visa required
Afghanistan,Sao Tome and Principe,e-visa,visa required
Afghanistan,Senegal,visa required,visa on arrival
Afghanistan,Seychelles,90,visa on arrival
Afghanistan,Sierra Leone,visa on arrival,visa required
Afghanistan,Singapore,e-visa,visa required
Afghanistan,South Sudan,e-visa,visa required
Afghanistan,Saint Vincent and the Grenadines,visa required,visa free
Afghanistan,Suriname,e-visa,visa required
Afghanistan,Tajikistan,e-visa,visa required
Afghanistan,Tanzania,e-visa,visa required
Afghanistan,Uganda,e-visa,visa on arrival
Afghanistan,United Arab Emirates,e-visa,visa required
Afghanistan,Uzbekistan,e-visa,visa required
Afghanistan,Zambia,e-visa,visa required
Afghanistan,Zimbabwe,e-visa,visa required
Albania,Angola,visa on arrival,visa required
Albania,Armenia,180,visa on arrival
Albania,Australia,e-visa,visa required
Albania,Azerbaijan,e-visa,visa required
Albania,Bahrain,e-visa,visa required
Albania,Belarus,30,visa required
Albania,Benin,e-visa,visa required
Albania,Botswana,e-visa,visa required
Albania,Cambodia,e-visa,visa on arrival
Albania,DR Congo,e-visa,visa required
Albania,Ivory Coast,e-visa,visa required
Albania,Djibouti,e-visa,visa required
Albania,Dominican Republic,visa required,visa free
Albania,Ecuador,e-visa,visa free
Albania,Ethiopia,e-visa,visa required
Albania,Gabon,e-visa,visa required
Albania,Guinea,e-visa,visa required
Albania,India,e-visa,visa required
Albania,Indonesia,visa on arrival,visa free
Albania,Iran,e-visa,visa on arrival
Albania,Kenya,e-visa,visa required
Albania,Kyrgyzstan,60,visa on arrival
Albania,Lesotho,e-visa,visa required
Albania,Myanmar,e-visa,visa required
Albania,Nigeria,visa on arrival,visa required
Albania,Oman,e-visa,visa free
Albania,Pakistan,e-visa,visa required
Albania,Qatar,Hayya Entry Permit,visa required
Albania,Saint Kitts and Nevis,e-visa,visa required
Albania,Sao Tome and Principe,e-visa,visa required
Albania,Senegal,visa required,visa on arrival
Albania,Seychelles,90,visa on arrival
Albania,Sierra Leone,visa on arrival,visa required
Albania,South Korea,e-visa,visa required
Albania,South Sudan,e-visa,visa required
Albania,Suriname,90,visa required
Albania,Tajikistan,e-visa,visa required
Albania,Uganda,e-visa,visa on arrival
Albania,United Arab Emirates,e-visa,visa required
Albania,Uzbekistan,e-visa,visa required
Algeria,Albania,e-visa,visa required
Algeria,Angola,visa on arrival,visa required
Algeria,Antigua and Barbuda,e-visa,visa required
Algeria,Armenia,e-visa,visa required
Algeria,Australia,e-visa,visa required
Algeria,Azerbaijan,covid ban,visa required
Algeria,Bahrain,e-visa,visa required
Algeria,Barbados,90,visa required
Algeria,Botswana,e-visa,visa required
Algeria,Cambodia,e-visa,visa on arrival
Algeria,Colombia,e-visa,visa required
Algeria,DR Congo,e-visa,visa required
Algeria,Ivory Coast,e-visa,visa required
Algeria,Djibouti,e-visa,visa required
Algeria,Ethiopia,e-visa,visa on arrival
Algeria,Gabon,e-visa,visa required
Algeria,Guyana,visa on arrival,visa required
Algeria,Indonesia,visa required,visa free
Algeria,Iran,e-visa,visa on arrival
Algeria,Kazakhstan,e-visa,visa required
Algeria,Kenya,e-visa,visa required
Algeria,Kyrgyzstan,e-visa,visa required
Algeria,Lesotho,e-visa,visa required
Algeria,Malawi,e-visa,visa required
Algeria,Moldova,e-visa,visa required
Algeria,Myanmar,e-visa,visa required
Algeria,Oman,e-visa,visa free
Algeria,Pakistan,e-visa,visa required
Algeria,Palestine,visa free,visa required
Algeria,Qatar,Hayya Entry Permit,visa required
Algeria,Saint Kitts and Nevis,e-visa,visa required
Algeria,Sao Tome and Principe,e-visa,visa required
Algeria,Seychelles,90,visa on arrival
Algeria,Sierra Leone,visa on arrival,visa required
Algeria,Singapore,e-visa,visa required
Algeria,South Sudan,e-visa,visa required
Algeria,Suriname,e-visa,visa required
Algeria,Uganda,e-visa,visa on arrival
Algeria,United Arab Emirates,e-visa,visa required
Algeria,Uzbekistan,e-visa,visa required
Algeria,Zambia,e-visa,visa required
Andorra,Angola,visa on arrival,visa required
Andorra,Azerbaijan,covid ban,visa required
Andorra,Barbados,90,visa required
Andorra,Benin,e-visa,visa required
Andorra,Botswana,e-visa,visa required
Andorra,Cambodia,e-visa,visa on arrival
Andorra,Cape Verde,30,visa on arrival
Andorra,DR Congo,e-visa,visa required
Andorra,Ivory Coast,e-visa,visa required
Andorra,Djibouti,e-visa,visa required
Andorra,Ethiopia,e-visa,visa required
Andorra,Gabon,e-visa,visa required
Andorra,Guinea,e-visa,visa required
Andorra,Guyana,visa on arrival,visa required
Andorra,India,e-visa,visa required
Andorra,Indonesia,visa on arrival,visa free
Andorra,Iran,e-visa,visa on arrival
Andorra,Japan,90,visa required
Andorra,Kazakhstan,e-visa,visa required
Andorra,Kenya,e-visa,visa required
Andorra,Kuwait,e-visa,visa on arrival
Andorra,Lesotho,e-visa,visa required
Andorra,Nigeria,visa on arrival,visa required
Andorra,Oman,visa on arrival,visa free
Andorra,Pakistan,e-visa,visa required
Andorra,Papua New Guinea,e-visa,visa on arrival
Andorra,Qatar,Hayya Entry Permit,visa free
Andorra,Saint Kitts and Nevis,e-visa,visa required
Andorra,Seychelles,90,visa on arrival
Andorra,Sierra Leone,visa on arrival,visa required
Andorra,South Korea,e-visa,visa required
Andorra,South Sudan,e-visa,visa required
Andorra,Suriname,e-visa,visa required
Andorra,Thailand,45,visa on arrival
Andorra,Uganda,e-visa,visa on arrival
Andorra,Vietnam,e-visa,visa required
Angola,Albania,e-visa,visa required
Angola,Antigua and Barbuda,e-visa,visa required
Angola,Australia,e-visa,visa required
Angola,Azerbaijan,covid ban,visa required
Angola,Bahrain,e-visa,visa required
Angola,Barbados,90,visa required
Angola,Bolivia,visa on arrival,visa required
Angola,Cambodia,e-visa,visa on arrival
Angola,Colombia,e-visa,visa required
Angola,DR Congo,e-visa,visa required
Angola,Ivory Coast,e-visa,visa required
Angola,Djibouti,e-visa,visa required
Angola,Ecuador,e-visa,visa required
Angola,Ethiopia,e-visa,visa on arrival
Angola,Gabon,e-visa,visa required
Angola,Georgia,e-visa,visa required
Angola,Guinea,e-visa,visa required
Angola,Guyana,visa on arrival,visa required
Angola,India,e-visa,visa required
Angola,Indonesia,visa required,visa free
Angola,Iran,e-visa,visa on arrival
Angola,Kazakhstan,e-visa,visa required
Angola,Kenya,e-visa,visa required
Angola,Kyrgyzstan,e-visa,visa required
Angola,Lesotho,e-visa,visa required
Angola,Malawi,e-visa,visa required
Angola,Malaysia,e-visa,visa required
Angola,Moldova,e-visa,visa required
Angola,Oman,e-visa,visa required
Angola,Qatar,Hayya Entry Permit,visa required
Angola,Rwanda,90,visa on arrival
Angola,Saint Kitts and Nevis,e-visa,visa required
Angola,Senegal,visa required,visa on arrival
Angola,Seychelles,90,visa on arrival
Angola,Sierra Leone,visa on arrival,visa required
Angola,South Sudan,e-visa,visa required
Angola,Suriname,e-visa,visa required
Angola,Tajikistan,e-visa,visa required
Angola,United Arab Emirates,e-visa,visa required
Angola,Uzbekistan,e-visa,visa required
Antigua and Barbuda,Angola,visa on arrival,visa required
Antigua and Barbuda,Armenia,e-visa,visa on arrival
